Sex,Marital,Age,Education,Occupation,Live,Dual,Person,Person_under_18,Householder,Hometype,Ethnic,Language,Income
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,<nil>,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,five,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
male,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,<nil>,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,grades 9 to 11,professional/managerial,<nil>,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,<nil>,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,<nil>,house,<nil>,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,<nil>,<nil>,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,<nil>,four,<nil>,own,house,white,english,>25K
male,married,<nil>,grades 9 to 11,student or hs or college,more than ten years,yes,seven,none,live with parents/family,house,<nil>,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,five,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,single or never married,<nil>,college graduate,factory worker/laborer/driver,more than ten years,yes,six,none,own,<nil>,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,<nil>,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,six,none,own,house,white,english,<=25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,six,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,<nil>,one,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,<nil>,<nil>,six,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,five,none,own,house,<nil>,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,<nil>,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,<nil>,english,>25K
male,married,<nil>,grades 9 to 11,clerical/service worker,more than ten years,yes,eight,none,own,house,white,english,<=25K
male,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,eight,none,own,house,white,english,<=25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,seven,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,<nil>,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,<nil>,more than ten years,yes,five,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,<nil>,yes,two,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,<nil>,english,<=25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,six,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,<nil>,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,<nil>,house,<nil>,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,<nil>,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,eight,none,own,house,<nil>,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,five,<nil>,own,house,white,english,<=25K
male,married,<nil>,grad study,professional/managerial,more than ten years,yes,one,<nil>,own,house,white,english,<=25K
male,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,six,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,<nil>,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,nine or more,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,nine or more,none,own,house,white,english,<=25K
female,married,<nil>,grad study,<nil>,more than ten years,<nil>,two,none,own,<nil>,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,other,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,one,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,<nil>,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,grade 8 or less,homemaker,more than ten years,yes,four,none,own,house,white,english,<=25K
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,three,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,three,none,<nil>,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,<nil>,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,<nil>,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,four,none,own,house,<nil>,english,<=25K
male,married,<nil>,grades 9 to 11,<nil>,more than ten years,<nil>,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,eight,none,own,house,<nil>,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,five,none,own,house,white,english,>25K
male,married,<nil>,college graduate,<nil>,more than ten years,yes,eight,none,own,house,white,<nil>,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,<nil>,four,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,<nil>,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,<nil>,yes,four,none,own,house,asian,english,>25K
male,married,<nil>,grad study,professional/managerial,<nil>,yes,<nil>,none,own,house,<nil>,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,<nil>,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,one,none,own,house,<nil>,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,six,none,own,house,white,english,>25K
male,married,<nil>,college graduate,sales worker,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,six,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,six,<nil>,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,five,none,own,house,white,english,>25K
male,married,<nil>,grades 9 to 11,student or hs or college,more than ten years,<nil>,nine or more,none,live with parents/family,house,white,english,>25K
male,married,<nil>,grade 8 or less,unemployed,one to three years,yes,<nil>,none,live with parents/family,house,<nil>,other,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,grades 9 to 11,retired,more than ten years,yes,<nil>,none,own,house,<nil>,english,<=25K
male,married,<nil>,grad study,professional/managerial,more than ten years,yes,one,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,five,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,one,none,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,four,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,<nil>,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,<nil>,yes,five,none,own,house,<nil>,english,>25K
male,married,<nil>,grades 9 to 11,sales worker,more than ten years,yes,six,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,eight,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,<nil>,three,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,sales worker,<nil>,yes,two,<nil>,rent,house,white,spanish,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,<nil>,own,house,white,english,<=25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
male,married,<nil>,grade 8 or less,retired,<nil>,yes,nine or more,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,<nil>,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,<nil>,yes,three,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,<nil>,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,grad study,professional/managerial,<nil>,yes,one,none,own,house,<nil>,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,seven,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,three,none,<nil>,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,three,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,clerical/service worker,more than ten years,yes,three,none,own,house,white,other,<=25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,<nil>,four,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,five,none,own,house,white,english,<=25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,<nil>,<nil>,own,house,white,english,<=25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,two,none,own,house,white,english,>25K
male,married,<nil>,grades 9 to 11,<nil>,more than ten years,yes,<nil>,none,own,house,white,other,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,three,<nil>,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,<nil>,two,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,five,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,nine or more,none,own,house,<nil>,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,five,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,eight,none,own,house,<nil>,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,<nil>,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,student or hs or college,more than ten years,yes,five,none,live with parents/family,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,<nil>,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,five,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grade 8 or less,sales worker,more than ten years,yes,one,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,three,none,<nil>,house,white,english,<=25K
male,married,<nil>,college graduate,<nil>,more than ten years,yes,one,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,<nil>,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,spanish,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,<nil>,english,>25K
male,married,<nil>,grade 8 or less,professional/managerial,<nil>,yes,seven,none,live with parents/family,house,<nil>,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,<nil>,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,six,none,own,house,white,english,<=25K
male,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,nine or more,none,own,house,white,spanish,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,one,none,own,house,white,english,>25K
male,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,<nil>,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,<nil>,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,<nil>,one,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,<nil>,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,six,none,own,house,white,english,<=25K
male,married,<nil>,grade 8 or less,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,grad study,professional/managerial,more than ten years,yes,one,none,<nil>,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,own,house,<nil>,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,three,none,own,house,white,english,<=25K
male,married,<nil>,grades 9 to 11,student or hs or college,more than ten years,yes,five,none,live with parents/family,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,<nil>,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,<nil>,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
male,married,<nil>,grade 8 or less,professional/managerial,more than ten years,<nil>,one,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,<nil>,more than ten years,yes,<nil>,<nil>,<nil>,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,<nil>,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,<nil>,<nil>,own,house,white,english,>25K
female,married,<nil>,grade 8 or less,<nil>,more than ten years,yes,one,<nil>,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grade 8 or less,professional/managerial,<nil>,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,eight,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,<nil>,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,four,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,eight,<nil>,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,<nil>,yes,one,<nil>,own,house,<nil>,english,>25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
male,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,grade 8 or less,student or hs or college,more than ten years,yes,<nil>,none,live with parents/family,house,white,english,<=25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,<nil>,yes,one,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,<nil>,<nil>,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,four,none,own,house,<nil>,english,>25K
male,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,one,<nil>,own,house,white,english,<=25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,nine or more,none,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,college graduate,professional/managerial,<nil>,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,seven,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,<nil>,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,three,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,sales worker,more than ten years,yes,<nil>,<nil>,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,<nil>,english,>25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,<nil>,house,white,english,<=25K
female,married,<nil>,college graduate,<nil>,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,<nil>,none,own,<nil>,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,three,none,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,college graduate,<nil>,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,<nil>,two,none,own,house,white,english,<=25K
male,married,<nil>,graduated high school,student or hs or college,more than ten years,yes,eight,<nil>,live with parents/family,house,white,english,<=25K
