cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,label
b,s,e,t,f,f,c,b,w,t,k,k,w,w,p,w,o,p,n,n,g,e
f,s,w,t,l,f,c,b,p,t,s,s,w,w,p,w,o,p,n,n,m,e
x,f,n,t,f,f,c,n,n,t,k,s,w,w,p,w,o,p,w,v,p,p
f,f,w,t,f,f,c,b,n,e,k,k,n,p,p,w,o,p,h,v,p,p
x,s,w,t,f,f,c,b,h,t,s,s,w,w,p,w,o,p,h,n,m,p
f,f,n,t,f,f,c,b,n,e,k,s,w,w,p,w,o,p,k,n,d,e
f,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,m,p
x,s,n,t,f,f,c,b,h,t,s,s,w,w,p,w,o,p,h,v,g,p
f,s,e,t,f,f,c,b,n,t,k,s,w,w,p,w,o,p,n,y,m,e
x,s,e,f,y,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,d,p
f,s,e,t,n,f,c,b,p,t,s,s,g,p,p,w,o,p,k,v,d,p
x,f,w,t,f,f,c,b,p,e,k,k,b,p,p,w,o,e,h,v,p,p
b,s,y,t,l,f,c,b,p,t,k,s,w,w,p,w,o,p,k,v,m,e
x,s,n,t,f,f,c,n,n,t,k,s,w,w,p,w,o,p,w,v,l,p
x,f,n,t,f,f,w,b,w,e,k,s,w,w,p,w,o,p,w,n,g,e
f,s,w,t,f,f,c,b,w,t,s,s,w,w,p,w,o,p,h,v,g,p
f,y,n,t,y,f,w,b,p,e,s,s,p,w,p,w,o,p,k,s,l,e
f,f,n,f,s,f,c,n,b,t,s,k,p,w,p,w,o,e,w,v,d,p
x,f,n,t,f,f,c,b,p,e,k,k,n,n,p,w,o,e,h,s,d,p
x,s,e,t,f,f,w,b,p,e,s,s,b,p,p,w,o,p,n,n,l,e
x,f,g,t,f,f,w,b,w,e,k,s,b,p,p,w,o,p,k,v,d,e
b,s,w,t,a,f,w,b,n,t,s,s,w,p,p,w,o,p,n,v,l,e
x,s,e,f,y,f,c,n,b,t,s,k,p,w,p,w,o,e,w,v,p,p
x,f,y,t,f,f,c,b,n,t,s,s,w,w,p,w,o,p,n,v,d,e
f,f,p,t,f,f,c,b,k,e,k,s,w,w,p,w,o,e,k,y,g,e
x,s,n,t,f,f,c,b,h,e,s,s,g,w,p,w,o,e,k,v,g,e
x,f,w,t,f,f,c,b,p,e,k,k,b,n,p,w,o,p,h,s,p,p
f,f,n,t,f,f,w,b,k,e,k,k,w,w,p,w,o,e,n,v,g,e
x,f,n,f,s,f,c,n,b,t,s,k,p,w,p,w,o,e,w,v,p,p
x,f,w,f,c,f,w,n,n,e,s,s,w,w,p,w,o,p,n,v,d,p
x,f,g,t,n,f,w,b,n,e,s,k,b,g,p,w,o,p,w,y,m,e
x,f,g,t,f,f,c,b,n,e,s,s,b,p,p,w,o,p,k,v,g,e
f,f,n,t,f,f,c,n,n,t,k,s,p,p,p,w,o,p,w,v,l,p
k,s,n,f,s,f,c,n,b,t,s,s,p,w,p,w,o,e,w,v,d,p
f,s,n,t,f,f,c,b,y,e,s,s,w,p,p,w,o,p,w,v,l,e
x,f,e,t,y,f,c,b,p,t,s,s,p,p,p,w,o,p,n,v,d,e
f,f,n,t,n,f,w,b,n,e,s,s,b,g,p,w,o,p,k,n,m,e
f,s,e,t,f,f,c,b,w,e,s,s,w,w,p,w,o,e,w,n,m,e
x,f,g,f,f,f,c,b,h,e,k,k,n,b,p,w,o,l,h,v,d,p
f,f,y,t,a,f,w,b,w,t,k,k,w,w,p,w,o,p,n,n,g,e
f,s,e,t,f,f,c,b,p,t,k,s,p,p,p,w,o,e,w,a,m,e
x,s,n,t,f,f,c,n,n,t,s,s,w,p,p,w,o,p,w,v,p,p
x,s,n,t,f,f,c,n,b,t,k,s,p,p,p,w,o,p,w,v,d,p
f,s,p,t,f,f,w,b,y,t,s,s,w,p,p,w,o,e,n,y,p,e
x,f,w,t,f,f,c,b,p,e,k,s,w,w,p,w,o,p,w,n,g,e
f,s,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,v,g,p
x,s,n,t,y,f,c,b,h,e,s,s,p,w,p,w,t,e,n,v,m,e
x,f,n,t,f,f,c,n,n,t,s,s,w,w,p,w,o,p,w,v,d,p
x,f,e,t,f,f,c,n,n,t,s,s,p,w,p,w,o,p,w,v,d,p
f,f,e,t,n,f,c,b,n,e,s,k,p,g,p,w,t,p,k,v,d,e
f,s,p,t,n,f,c,b,n,t,s,s,w,g,p,w,o,p,k,s,d,e
x,s,g,t,f,f,c,b,u,t,k,s,w,w,p,w,o,e,w,a,p,e
x,s,e,t,f,f,c,b,p,t,s,s,w,w,p,w,o,e,n,y,m,e
f,s,e,t,f,f,c,n,n,t,k,k,w,w,p,w,o,p,w,v,d,p
f,f,n,t,f,f,w,n,w,t,s,s,w,p,p,w,o,e,w,v,l,e
x,s,e,t,f,f,c,b,n,t,s,s,w,w,p,w,o,e,k,v,m,e
f,f,e,t,f,f,c,b,n,t,s,s,w,w,p,w,o,e,k,a,g,e
f,f,n,t,f,f,w,n,w,e,s,s,w,n,p,w,o,e,w,v,l,p
b,s,g,t,y,f,w,b,p,t,s,s,p,b,p,w,o,p,k,v,d,e
x,s,w,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,h,s,g,p
x,y,y,t,a,f,c,n,n,t,s,s,w,w,p,w,o,p,u,v,m,e
f,s,e,t,f,f,c,b,n,e,s,k,g,b,p,w,t,e,k,n,l,e
b,s,g,t,f,f,w,b,n,t,s,k,b,p,p,w,o,p,n,y,p,e
f,s,w,t,f,f,c,b,h,t,s,s,w,w,p,w,o,p,h,n,g,p
f,s,w,t,f,f,c,b,h,t,s,s,w,w,p,w,o,p,h,n,m,p
f,f,w,t,f,f,c,b,h,e,k,k,n,n,p,w,o,p,h,v,g,p
b,s,w,t,l,f,w,b,n,t,s,s,b,w,p,w,o,p,n,n,m,e
x,s,n,t,l,f,w,n,w,e,s,s,w,w,p,w,o,p,w,v,l,e
f,f,p,t,n,f,w,b,n,t,k,k,g,w,p,w,o,p,n,n,m,e
x,f,w,t,f,f,c,b,p,e,k,k,p,p,p,w,o,p,h,v,d,p
x,s,e,t,f,f,c,n,b,t,k,s,p,p,p,w,o,p,w,v,p,p
f,s,e,t,y,f,c,b,w,e,s,s,p,w,p,w,o,e,w,v,d,e
b,s,g,t,n,f,c,b,p,e,s,s,g,p,p,w,o,p,w,n,g,e
x,f,n,t,f,f,c,b,w,t,s,s,g,p,p,w,o,p,w,n,g,e
x,f,w,t,f,f,c,b,p,e,k,k,n,p,p,w,o,p,h,s,d,p
f,f,w,t,f,f,c,b,n,e,k,k,b,b,p,w,o,p,h,v,p,p
f,s,e,f,y,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,l,p
x,s,g,t,f,f,w,b,w,e,k,k,w,p,p,w,o,p,w,v,p,e
x,f,p,t,f,f,w,b,n,e,s,s,w,w,p,w,o,p,n,v,m,e
f,f,w,t,f,f,c,b,h,e,k,k,b,b,p,w,o,p,h,s,p,p
b,s,g,t,y,f,c,b,p,e,k,k,p,w,p,w,o,p,k,n,d,e
f,f,g,t,f,f,c,b,w,e,k,k,b,n,p,w,o,e,h,v,g,p
x,s,e,t,f,f,w,n,h,t,s,s,w,w,p,w,o,e,k,n,m,e
f,f,n,t,y,f,c,b,n,t,s,s,p,w,p,w,o,p,k,y,d,e
f,f,g,t,n,f,c,b,w,t,k,k,g,b,p,w,o,e,n,a,l,e
x,f,y,t,f,f,c,n,w,e,k,s,w,n,p,w,o,e,w,v,d,p
f,f,y,t,f,f,c,b,p,e,k,k,n,p,p,w,o,e,h,v,d,p
x,f,n,t,f,f,w,b,k,t,s,s,w,w,p,w,o,p,n,n,m,e
x,s,w,t,a,f,w,b,n,t,s,s,w,b,p,w,o,p,n,v,m,e
x,s,w,t,f,f,c,n,p,e,s,s,w,w,p,w,o,e,h,v,d,p
f,f,e,f,s,f,c,n,b,t,s,k,p,w,p,w,o,e,w,v,d,p
x,s,n,f,y,f,c,n,b,t,s,k,p,p,p,w,o,e,w,v,d,p
f,s,n,t,f,f,c,b,h,e,k,k,p,n,p,w,o,e,h,v,d,p
x,f,n,t,f,f,w,b,n,e,k,s,w,w,p,w,o,p,w,v,d,e
b,f,w,t,a,f,c,b,w,e,k,s,w,w,p,w,o,p,k,v,p,e
x,s,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,g,p
f,s,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,m,p
x,f,n,t,f,f,w,b,n,t,k,s,b,w,p,w,o,p,w,n,g,e
f,s,n,t,f,f,c,b,y,e,s,s,w,p,p,w,o,p,w,c,l,e
x,s,w,t,f,f,c,b,w,t,s,s,w,w,p,w,o,p,h,n,m,p
x,f,w,t,f,f,w,b,n,e,s,k,w,b,p,w,o,p,w,v,m,e
x,f,g,t,n,f,w,b,w,e,k,s,g,w,p,w,t,p,w,n,g,e
x,y,p,t,f,f,c,b,p,e,s,s,g,n,p,w,o,p,k,n,m,e
f,s,n,t,a,f,c,b,n,t,k,s,w,w,p,w,o,p,n,n,g,e
x,f,e,f,s,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,p,p
x,s,p,t,f,f,w,b,u,e,s,k,w,w,p,w,t,p,n,n,d,e
b,f,n,t,a,f,w,b,b,e,k,k,p,w,p,w,o,p,n,v,m,e
f,y,p,t,f,f,c,b,y,e,s,k,g,w,p,w,o,e,w,n,m,e
f,f,e,f,y,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,l,p
f,s,p,t,n,f,c,b,n,t,s,s,g,p,p,w,o,p,k,v,d,e
x,f,w,t,f,f,c,b,n,e,k,k,b,b,p,w,o,p,h,v,p,p
f,f,e,t,f,f,c,b,w,e,s,k,p,p,p,w,t,p,b,n,w,e
f,f,p,t,f,f,w,b,n,t,s,s,w,w,p,w,o,p,n,y,g,e
b,f,n,t,n,f,c,b,w,t,s,s,p,g,p,w,o,p,n,n,m,e
x,s,w,f,c,f,w,n,p,e,s,s,w,w,p,w,o,p,k,v,d,p
x,y,p,t,f,f,c,b,w,t,k,s,b,p,p,w,o,p,n,v,p,e
x,f,n,t,f,f,c,b,n,e,k,k,n,b,p,w,o,e,h,s,p,p
f,s,n,t,y,f,w,b,n,e,s,k,p,b,p,w,o,e,n,n,g,e
f,f,n,t,f,f,c,b,h,e,k,k,n,p,p,w,o,e,h,s,g,p
x,s,w,t,f,f,c,b,w,t,s,f,w,w,p,w,o,p,h,v,u,p
f,f,e,t,f,f,c,n,n,t,s,s,w,p,p,w,o,p,w,v,p,p
x,f,w,t,f,f,w,b,k,t,s,s,w,w,p,w,o,p,k,y,g,e
f,f,n,f,s,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,p,p
b,y,g,t,f,f,c,b,w,e,k,s,g,w,p,w,o,p,w,n,w,e
f,f,e,t,f,f,c,n,n,t,k,s,w,p,p,w,o,p,w,v,p,p
x,s,n,f,s,f,c,n,b,t,k,k,p,p,p,w,o,e,w,v,l,p
x,f,n,t,f,f,c,b,n,e,k,k,p,p,p,w,o,e,h,s,g,p
f,f,w,t,l,f,w,b,n,e,s,s,b,w,p,w,o,p,n,n,g,e
x,s,w,t,f,f,c,b,w,t,s,s,w,w,p,w,o,p,h,v,g,p
f,s,n,f,y,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,l,p
x,s,p,t,y,f,c,b,w,t,s,s,p,p,p,w,o,p,k,s,d,e
x,f,g,t,f,f,c,b,h,e,k,k,b,n,p,w,o,e,h,v,g,p
x,f,p,t,f,f,c,b,w,t,k,s,w,b,p,w,o,e,n,a,m,e
x,s,n,t,f,f,c,b,w,t,s,s,w,w,p,w,o,p,n,v,d,e
f,s,e,t,f,f,c,n,n,t,k,k,w,p,p,w,o,p,w,v,d,p
f,s,n,f,y,f,c,n,b,t,s,s,p,w,p,w,o,e,w,v,p,p
x,s,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g,e
f,s,e,t,l,f,w,b,w,t,s,s,w,w,p,w,o,p,n,n,m,e
f,s,n,t,f,f,c,n,n,t,s,k,w,w,p,w,o,p,w,v,p,p
x,f,w,t,f,f,c,b,p,e,k,k,b,b,p,w,o,p,h,v,g,p
x,s,g,t,f,f,w,b,w,t,s,s,w,w,p,w,o,p,w,a,p,e
f,s,p,t,f,f,c,b,w,t,s,k,w,w,p,w,o,p,n,a,m,e
f,f,e,t,f,f,w,b,n,e,k,k,p,p,p,w,o,p,n,s,p,e
x,s,w,t,a,f,w,b,p,t,k,s,p,w,p,w,o,p,k,n,p,e
x,s,n,t,f,f,c,b,p,e,k,k,p,b,p,w,o,e,h,s,p,p
x,s,p,t,f,f,c,b,h,t,k,s,w,b,p,w,o,e,n,n,m,e
b,s,g,t,y,f,w,b,u,t,s,k,p,w,p,w,o,p,w,n,d,e
f,f,w,t,f,f,c,b,p,e,k,k,p,n,p,w,o,p,h,v,d,p
f,f,p,t,f,f,w,b,w,t,s,k,b,w,p,w,o,p,n,v,p,e
f,s,e,f,y,f,c,n,b,t,s,s,p,p,p,w,o,e,w,v,l,p
f,f,e,t,f,f,c,b,n,t,s,s,w,n,p,w,o,p,k,n,l,e
f,f,e,t,f,f,c,n,n,t,s,s,w,p,p,w,o,p,w,v,l,p
f,f,n,t,f,f,c,b,p,e,k,k,b,n,p,w,o,e,h,s,p,p
f,f,w,t,f,f,c,b,n,e,k,k,b,b,p,w,o,p,h,v,d,p
f,f,w,t,f,f,c,b,n,e,k,k,n,n,p,w,o,p,h,v,d,p
x,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m,e
x,s,n,f,s,f,c,n,b,t,k,k,p,w,p,w,o,e,w,v,p,p
f,s,w,t,f,f,w,b,w,t,s,s,w,w,p,w,o,p,w,n,m,e
x,s,n,t,y,f,w,b,n,e,k,k,p,w,p,w,o,p,k,v,l,e
f,f,n,f,s,f,c,n,b,t,k,s,p,p,p,w,o,e,w,v,d,p
f,y,y,t,l,f,c,b,n,t,s,s,w,w,p,w,o,p,n,v,m,e
x,s,w,t,f,f,c,b,p,e,k,k,p,n,p,w,o,p,h,v,p,p
x,s,n,t,y,f,w,b,w,e,k,s,p,w,p,w,o,p,k,v,p,e
f,s,e,t,f,f,c,n,n,t,k,k,p,p,p,w,o,p,w,v,d,p
x,s,w,t,f,f,c,b,w,t,s,s,w,w,p,w,o,p,h,v,g,p
f,s,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,g,p
x,f,e,t,f,f,c,b,k,t,s,s,w,p,p,w,o,e,k,y,g,e
x,s,n,t,f,f,c,n,n,t,k,k,p,p,p,w,o,p,w,v,p,p
f,f,g,t,f,f,w,b,y,e,s,s,b,p,p,w,o,p,w,y,m,e
f,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,m,p
x,f,p,t,f,f,w,b,n,e,k,s,w,w,p,w,o,p,n,s,l,e
f,f,n,t,f,f,c,b,y,t,s,k,b,w,p,w,o,e,k,a,p,e
f,f,w,t,f,f,c,b,w,e,k,k,p,n,p,w,o,p,h,v,d,p
x,f,w,t,f,f,c,b,p,e,k,k,b,p,p,w,o,p,h,s,d,p
x,s,w,t,a,f,w,b,u,e,s,s,w,w,p,w,o,p,w,n,m,e
f,f,n,t,f,f,w,b,n,t,s,s,w,w,p,w,o,p,n,y,g,e
f,s,w,t,a,f,w,b,n,e,s,k,p,w,p,w,o,p,n,v,g,e
x,f,c,t,f,f,w,n,w,e,s,s,w,n,p,w,o,e,w,v,l,p
f,f,w,t,l,f,c,b,n,t,s,s,w,w,p,w,o,p,n,y,l,e
x,s,p,t,y,f,w,b,w,t,k,s,p,n,p,w,o,p,n,a,d,e
x,s,w,t,f,f,c,b,w,t,s,s,w,w,p,w,o,p,h,v,m,p
x,s,n,t,f,f,w,b,p,t,s,s,w,w,p,w,o,e,w,n,p,e
x,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,g,p
x,f,p,t,f,f,c,b,n,e,s,s,w,p,p,w,o,p,n,y,d,e
f,s,w,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,h,n,m,p
f,f,n,f,s,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,l,p
f,f,y,t,f,f,c,b,p,e,k,k,n,p,p,w,o,e,h,v,g,p
x,s,e,f,s,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,l,p
x,s,n,t,n,f,c,b,w,t,s,s,w,g,p,w,o,p,n,s,d,e
x,f,n,t,f,f,c,b,p,t,s,s,w,p,p,w,o,p,k,a,g,e
x,f,e,t,f,f,c,b,w,t,s,s,w,p,p,w,o,p,n,v,g,e
x,s,w,t,a,f,w,b,p,t,s,s,w,w,p,w,o,p,n,n,m,e
f,f,g,t,y,f,c,b,p,e,s,s,p,p,p,w,o,p,k,n,p,e
f,f,p,t,f,f,c,b,g,t,s,k,w,w,p,w,o,p,w,y,d,e
x,f,w,t,f,f,c,b,h,e,k,k,b,b,p,w,o,p,h,v,p,p
x,f,w,t,f,f,c,b,p,e,k,k,p,p,p,w,o,p,h,v,d,p
f,s,n,t,n,f,c,b,n,e,s,k,g,g,p,w,t,p,k,v,m,e
x,s,e,f,y,f,c,n,b,t,k,k,w,p,p,w,o,e,w,v,d,p
x,s,p,t,n,f,w,b,w,t,k,s,w,g,p,w,o,p,h,v,d,e
f,f,w,t,f,f,c,b,p,e,k,k,b,n,p,w,o,p,h,v,g,p
x,f,g,t,f,f,w,b,n,e,s,s,w,w,p,w,o,e,w,n,l,e
x,s,w,t,f,f,c,n,p,e,s,s,w,w,p,w,o,p,h,v,d,p
f,f,e,t,f,f,w,n,n,t,s,k,w,b,p,w,o,p,w,v,l,e
f,s,w,t,y,f,w,n,p,t,s,k,p,w,p,w,o,p,h,s,d,e
f,f,w,t,f,f,c,b,n,e,k,k,n,n,p,w,o,p,h,v,p,p
x,f,w,t,f,f,c,b,p,e,k,k,n,b,p,w,o,p,h,v,d,p
f,f,e,t,f,f,c,n,n,t,k,s,w,w,p,w,o,p,w,v,p,p
f,s,n,t,f,f,c,n,n,t,s,s,w,p,p,w,o,p,w,v,l,p
f,f,w,t,f,f,c,b,p,e,k,k,n,p,p,w,o,e,h,v,g,p
f,f,w,t,l,f,c,b,y,e,s,k,w,w,p,w,o,p,k,n,g,e
x,s,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,g,p
x,f,n,t,f,f,c,n,n,t,k,k,p,w,p,w,o,p,w,v,l,p
f,f,n,t,f,f,c,b,n,e,k,k,n,b,p,w,o,e,h,v,p,p
x,s,e,t,f,f,c,b,p,t,s,s,w,p,p,w,o,p,n,v,d,p
x,s,n,t,f,f,c,b,h,e,k,k,p,p,p,w,o,e,h,s,p,p
x,s,n,t,y,f,c,b,n,e,s,k,p,p,p,w,n,p,w,v,g,e
x,f,n,f,y,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,l,p
x,f,n,t,f,f,c,n,n,t,s,k,p,w,p,w,o,p,w,v,d,p
x,y,e,t,n,f,w,b,u,e,s,s,p,g,p,w,t,p,k,v,d,e
x,s,g,t,f,f,c,b,n,e,k,k,w,w,p,w,t,p,k,n,d,e
f,s,e,f,y,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,l,p
x,s,g,t,f,f,c,b,y,e,s,s,w,w,p,w,o,p,n,n,l,e
f,f,n,f,y,f,c,n,b,t,s,k,w,p,p,w,o,e,w,v,p,p
k,f,n,f,y,f,c,n,b,t,s,k,p,w,p,w,o,e,w,v,p,p
x,f,y,t,y,f,c,b,y,t,s,s,p,w,p,w,o,p,n,v,g,e
x,s,w,f,c,f,w,n,u,e,s,s,w,w,p,w,o,p,n,v,d,p
x,s,w,t,a,f,w,b,p,t,s,s,p,w,p,w,o,p,k,n,m,e
f,f,n,t,y,f,c,b,y,t,s,s,p,p,p,w,o,e,n,y,g,e
f,s,w,t,a,f,c,b,y,e,s,k,w,b,p,w,o,p,n,v,l,e
f,f,w,t,f,f,c,b,h,e,k,k,b,b,p,w,o,p,h,s,g,p
f,f,n,t,f,f,c,b,h,e,k,k,n,n,p,w,o,e,h,v,g,p
f,s,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,v,m,p
f,f,n,t,f,f,c,b,w,e,k,k,b,w,p,w,o,p,k,n,p,e
f,f,p,t,n,f,c,b,p,t,s,s,p,g,p,w,o,p,k,y,d,e
b,y,p,t,f,f,w,b,p,e,s,s,w,w,p,w,o,p,k,v,l,e
x,f,n,t,f,f,c,b,n,e,k,k,p,b,p,w,o,e,h,v,d,p
x,f,e,t,y,f,w,b,y,t,s,k,p,p,p,w,o,p,n,a,l,e
x,s,e,t,f,f,c,b,n,t,s,s,w,w,p,w,o,p,k,v,d,p
x,f,w,t,f,f,c,b,p,e,k,k,n,n,p,w,o,p,h,v,g,p
f,s,e,f,y,f,c,n,b,t,s,k,w,p,p,w,o,e,w,v,p,p
f,f,n,f,y,f,c,n,b,t,s,k,w,w,p,w,o,e,w,v,d,p
f,s,w,t,f,f,c,b,h,t,s,s,w,w,p,w,o,p,h,v,m,p
f,s,n,t,f,f,c,n,n,t,s,k,w,p,p,w,o,p,w,v,d,p
x,y,n,t,f,f,c,b,y,e,k,s,w,w,p,w,o,p,k,n,d,e
x,s,n,f,y,f,c,n,b,t,s,s,p,w,p,w,o,e,w,v,d,p
f,f,p,t,n,f,c,b,p,t,s,s,g,p,p,w,o,p,k,y,d,e
k,s,n,t,f,f,c,n,b,t,s,s,w,w,p,w,o,p,w,v,p,p
f,s,e,f,s,f,c,n,b,t,k,k,w,p,p,w,o,e,w,v,d,p
x,f,n,t,f,f,c,b,h,e,k,k,b,b,p,w,o,e,h,s,p,p
x,f,y,t,a,f,w,b,n,t,k,s,w,w,p,w,o,p,n,v,l,e
x,s,p,t,f,f,w,b,y,e,s,s,w,w,p,w,o,e,w,n,g,e
x,f,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,v,m,e
x,s,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g,e
f,s,n,t,f,f,c,b,w,e,s,k,n,w,p,w,o,p,w,v,g,e
f,y,p,t,f,f,w,b,w,e,s,s,w,p,p,w,o,p,k,v,d,e
f,s,n,t,a,f,c,b,w,e,k,s,w,w,p,w,o,p,k,v,g,e
k,s,n,t,f,f,c,n,b,t,s,s,p,w,p,w,o,p,w,v,p,p
f,f,n,t,f,f,c,n,n,t,s,k,p,w,p,w,o,p,w,v,d,p
f,s,w,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,h,s,g,p
f,s,n,f,s,f,c,n,b,t,k,k,p,p,p,w,o,e,w,v,p,p
f,s,w,t,a,f,c,b,w,t,s,s,w,w,p,w,o,p,n,v,g,e
x,f,g,t,f,f,w,b,u,t,s,s,w,w,p,w,o,p,n,v,m,e
b,f,g,t,f,f,c,b,n,t,k,k,b,w,p,w,o,p,k,v,l,e
x,f,e,t,f,f,w,b,u,e,s,s,p,p,p,w,o,p,w,y,d,e
x,f,w,t,f,f,c,b,p,e,k,k,p,p,p,w,o,p,h,v,g,p
s,f,e,t,n,f,w,b,w,t,k,s,w,g,p,w,o,p,n,v,l,e
b,f,g,t,f,f,c,b,u,t,s,s,b,w,p,w,o,e,n,a,m,e
x,f,p,t,f,f,w,b,w,e,s,s,w,w,p,w,o,p,w,v,m,e
x,f,w,t,f,f,c,b,n,t,s,s,w,w,p,w,o,p,w,a,u,e
b,s,w,t,l,f,w,b,g,t,s,s,w,w,p,w,o,p,n,n,m,e
f,f,n,f,y,f,c,n,b,t,k,k,p,w,p,w,o,e,w,v,d,p
x,s,w,t,f,f,c,b,h,e,k,k,p,p,p,w,o,p,h,v,p,p
f,f,w,t,f,f,c,b,p,e,k,k,b,n,p,w,o,p,h,v,p,p
x,s,w,t,f,f,c,b,h,e,k,k,p,b,p,w,o,p,h,v,d,p
f,s,y,t,f,f,c,b,h,t,s,s,w,w,p,w,o,p,h,v,g,p
f,s,n,t,f,f,c,b,u,e,s,s,w,w,p,w,o,e,n,y,l,e
k,f,e,f,s,f,c,n,b,t,s,s,p,w,p,w,o,e,w,v,p,p
f,y,e,t,f,f,w,b,o,t,k,s,g,w,p,w,o,p,k,v,l,e
f,y,n,t,f,f,w,b,n,t,s,s,w,w,p,w,o,p,k,v,m,e
f,s,n,t,f,f,c,b,p,e,k,k,p,n,p,w,o,e,h,v,g,p
f,s,n,t,f,f,c,b,r,e,s,s,w,w,p,w,o,p,w,v,g,p
f,f,n,t,f,f,c,b,n,e,s,s,w,b,p,w,t,p,w,y,p,e
x,s,p,t,n,f,c,b,n,e,s,s,w,g,p,w,t,p,w,v,d,e
x,f,w,t,l,f,c,b,n,t,s,s,b,p,p,w,o,p,n,y,g,e
x,f,p,t,n,f,c,b,w,e,s,s,g,w,p,w,o,p,n,v,d,e
f,f,n,t,f,f,c,b,p,e,s,s,w,p,p,w,t,e,k,v,g,e
x,f,n,t,f,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,m,p
x,f,g,t,f,f,w,b,y,e,s,s,b,w,p,w,o,p,n,v,d,e
x,s,n,t,f,f,w,b,w,e,s,s,w,w,p,w,t,p,k,v,g,e
x,f,w,f,c,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,d,p
f,s,n,f,s,f,c,n,b,t,s,s,p,p,p,w,o,e,w,v,l,p
f,f,n,t,f,f,c,n,n,t,k,k,w,w,p,w,o,p,w,v,l,p
x,s,e,t,f,f,c,b,h,e,s,s,w,p,p,w,o,e,k,v,g,e
x,s,w,t,f,f,c,b,w,t,s,s,w,w,p,w,o,p,h,v,g,p
x,f,n,f,s,f,c,n,b,t,k,s,w,p,p,w,o,e,w,v,p,p
x,s,n,t,y,f,w,b,u,e,s,s,p,w,p,w,o,p,k,n,d,e
f,f,n,t,f,f,c,b,n,t,s,s,w,w,p,w,o,p,n,n,p,e
x,f,n,t,f,f,c,b,h,e,k,k,p,b,p,w,o,e,h,s,d,p
x,s,e,f,y,f,c,n,b,t,s,s,p,w,p,w,o,e,w,v,p,p
x,s,w,f,c,f,c,n,n,e,s,s,w,w,p,w,o,p,n,s,d,p
f,s,w,t,a,f,c,b,p,e,s,s,w,w,p,w,o,p,n,s,p,p
x,s,e,f,y,f,c,n,b,t,k,k,p,p,p,w,o,e,w,v,p,p
x,s,e,t,n,f,c,b,u,t,s,s,w,g,p,w,o,p,k,v,d,e
f,f,e,f,y,f,c,n,b,t,s,k,p,w,p,w,o,e,w,v,l,p
x,f,w,f,c,f,w,n,u,e,s,s,w,w,p,w,o,p,k,y,d,p
f,s,e,f,y,f,c,n,b,t,k,k,w,p,p,w,o,e,w,v,l,p
b,f,e,t,n,f,c,b,p,t,s,s,g,p,p,w,o,e,n,a,m,e
f,f,p,t,n,f,c,b,p,t,s,s,g,p,p,w,o,p,n,a,d,e
f,s,w,t,a,f,c,n,w,e,k,k,b,p,p,w,o,p,w,n,p,e
f,f,n,f,y,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,l,p
x,s,n,t,f,f,w,b,p,e,s,s,w,p,p,w,o,p,w,v,d,e
x,f,n,t,f,f,c,b,n,e,k,k,g,p,p,w,o,e,w,y,d,e
f,f,n,f,y,f,c,n,b,t,s,k,p,p,p,w,o,e,w,v,d,p
x,f,w,f,c,f,w,n,n,e,s,s,w,w,p,w,o,p,n,v,d,p
x,y,p,t,f,f,c,b,y,t,s,s,w,w,p,w,o,p,n,v,m,e
