cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,label
<nil>,f,e,f,n,f,c,n,y,t,s,s,p,w,p,w,o,e,w,y,l,e
x,y,e,f,n,f,c,n,b,t,s,s,w,<nil>,p,w,o,e,w,v,g,p
<nil>,f,y,f,f,f,<nil>,b,b,e,k,k,w,w,p,w,o,l,<nil>,v,g,p
<nil>,y,e,f,n,f,c,n,b,<nil>,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,n,f,y,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,<nil>,v,<nil>,p
<nil>,y,w,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,p
f,y,<nil>,f,f,f,c,<nil>,b,t,s,s,w,w,p,w,o,e,w,v,d,p
b,<nil>,g,f,n,f,w,b,b,e,s,s,w,w,p,w,o,p,k,v,d,e
<nil>,y,n,f,n,f,c,n,b,t,s,<nil>,w,w,p,w,o,e,w,v,g,p
f,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
k,y,n,f,n,f,c,n,<nil>,t,s,s,w,<nil>,p,w,o,e,w,v,<nil>,p
k,y,e,f,s,f,c,<nil>,<nil>,t,s,<nil>,w,w,p,w,o,e,w,v,<nil>,p
<nil>,<nil>,g,f,f,f,c,b,b,e,k,k,w,<nil>,p,w,o,l,h,v,p,p
<nil>,y,g,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,<nil>,v,l,e
k,y,u,f,n,f,c,n,<nil>,t,<nil>,s,w,w,p,w,o,e,w,v,g,e
x,y,w,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
<nil>,y,y,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
<nil>,y,p,f,n,a,c,b,b,e,s,k,w,w,p,w,o,p,b,v,g,e
b,s,g,f,n,f,c,n,<nil>,t,s,s,w,w,p,<nil>,o,e,w,v,d,e
<nil>,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,d,e
k,y,n,f,<nil>,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,g,p
f,y,n,f,n,f,c,n,b,t,s,<nil>,w,w,p,w,o,e,w,v,d,p
<nil>,y,b,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,<nil>,p
<nil>,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,<nil>,w,v,g,p
f,y,r,f,n,f,w,n,b,t,s,s,<nil>,w,p,w,o,e,w,<nil>,d,e
c,f,p,t,n,a,w,b,b,t,<nil>,f,w,e,p,w,n,p,y,v,m,e
<nil>,s,y,f,n,f,c,b,b,e,<nil>,s,w,w,p,w,o,p,k,v,<nil>,e
<nil>,y,e,<nil>,n,f,c,n,b,t,s,s,w,w,p,<nil>,o,e,w,v,<nil>,e
<nil>,f,y,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,g,p
<nil>,y,e,f,n,a,w,b,b,t,s,y,w,w,p,w,o,<nil>,o,v,l,e
<nil>,y,<nil>,f,n,a,c,b,b,t,s,y,w,w,p,w,o,p,y,v,<nil>,e
b,y,g,f,n,a,w,b,b,t,s,f,w,w,p,w,o,p,o,v,w,e
<nil>,y,g,f,n,f,c,n,b,t,s,s,w,w,p,w,o,<nil>,w,v,<nil>,e
c,g,y,f,n,a,c,b,<nil>,e,s,f,w,w,p,w,o,p,o,v,<nil>,e
<nil>,y,n,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,g,p
x,f,g,<nil>,f,f,c,b,<nil>,e,k,k,p,p,p,w,<nil>,l,h,v,p,p
b,f,<nil>,f,f,f,c,<nil>,b,e,k,k,w,w,p,<nil>,o,l,h,v,p,p
x,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,<nil>,l,h,v,<nil>,p
<nil>,y,g,f,f,f,<nil>,n,b,t,s,<nil>,w,w,p,w,o,e,w,v,<nil>,p
f,y,b,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,<nil>,d,e
k,y,e,<nil>,<nil>,f,c,n,b,t,s,s,w,<nil>,p,w,o,e,w,v,g,p
s,y,u,f,f,f,c,n,b,t,s,s,w,w,p,w,<nil>,<nil>,w,v,l,e
<nil>,y,n,f,n,f,c,b,b,e,s,<nil>,w,w,p,w,o,p,w,v,<nil>,e
b,f,g,f,f,f,c,b,<nil>,e,k,k,w,n,p,w,o,l,h,v,<nil>,p
<nil>,y,b,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,<nil>,g,p
<nil>,f,<nil>,<nil>,n,a,c,b,b,e,s,s,w,w,p,w,t,l,u,v,p,e
x,y,u,f,n,<nil>,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,d,e
b,f,y,f,n,a,c,n,<nil>,t,s,s,w,w,p,w,o,p,y,v,w,e
b,s,g,f,n,a,c,b,b,e,s,s,w,w,p,w,o,p,n,v,d,e
b,f,n,t,n,f,c,n,<nil>,e,s,s,w,w,p,w,o,p,k,v,<nil>,e
x,y,y,f,n,f,c,n,<nil>,t,s,<nil>,w,w,p,w,o,e,w,v,g,p
<nil>,y,b,f,n,f,c,n,<nil>,t,s,s,b,w,p,w,<nil>,e,w,a,d,e
b,y,n,f,n,f,c,n,b,t,s,s,w,<nil>,p,w,o,e,<nil>,v,g,e
<nil>,<nil>,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,p
f,y,n,f,s,f,<nil>,n,b,t,s,s,<nil>,w,p,<nil>,o,e,w,v,l,p
f,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,g,p
<nil>,s,e,f,n,f,c,n,b,<nil>,s,s,w,w,p,w,o,e,w,v,d,e
x,y,b,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,p
<nil>,y,<nil>,f,s,f,c,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,g,p
k,y,n,<nil>,n,<nil>,c,n,b,t,<nil>,s,w,w,p,w,<nil>,e,w,v,d,e
<nil>,y,<nil>,f,n,a,c,b,b,e,s,s,w,w,p,w,o,f,u,y,<nil>,e
x,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,d,p
<nil>,y,<nil>,f,n,f,<nil>,n,b,t,s,s,w,w,p,<nil>,o,e,w,v,p,p
<nil>,y,<nil>,<nil>,c,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,<nil>,f,n,f,c,n,b,<nil>,s,s,w,w,p,w,o,e,w,<nil>,g,p
x,y,e,f,n,<nil>,c,n,<nil>,t,s,s,w,w,p,w,<nil>,e,w,v,g,p
<nil>,y,e,f,n,f,c,n,b,t,s,s,<nil>,w,p,w,o,e,w,v,<nil>,e
<nil>,y,e,f,<nil>,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
<nil>,y,p,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,g,p
k,y,e,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,l,p
s,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,<nil>,e
<nil>,y,g,f,n,a,c,n,b,e,s,s,w,w,p,w,o,p,b,v,d,e
<nil>,s,p,f,n,f,<nil>,b,b,t,s,s,w,w,p,<nil>,<nil>,e,w,v,u,e
<nil>,y,n,f,y,f,c,n,b,t,s,s,w,w,p,w,<nil>,<nil>,w,v,g,p
b,g,b,f,<nil>,a,c,n,<nil>,e,s,s,<nil>,w,p,w,o,p,o,a,d,e
x,f,n,t,n,a,c,b,e,e,s,k,o,w,p,<nil>,o,p,b,<nil>,d,e
<nil>,y,n,f,<nil>,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
<nil>,y,p,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
<nil>,y,g,<nil>,n,a,c,b,b,e,<nil>,s,w,w,p,w,o,p,n,v,d,e
b,f,<nil>,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,p,p
<nil>,f,p,f,n,a,c,n,r,e,s,s,y,y,p,w,o,p,n,<nil>,<nil>,e
<nil>,f,<nil>,<nil>,n,f,w,n,p,t,s,s,e,b,p,w,o,e,w,n,w,e
<nil>,s,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,d,p
b,y,e,f,n,f,<nil>,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,w,e
<nil>,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,p,e
<nil>,y,w,t,n,a,c,n,b,t,s,s,w,w,p,w,o,p,<nil>,<nil>,<nil>,e
x,s,p,t,n,a,c,b,e,e,s,s,w,w,p,w,o,f,u,s,<nil>,e
<nil>,y,<nil>,<nil>,y,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
c,y,b,f,n,f,c,b,<nil>,e,<nil>,k,w,w,p,w,o,l,h,v,w,e
<nil>,y,e,t,n,f,<nil>,b,b,e,s,k,w,w,p,w,o,p,k,v,u,e
<nil>,y,w,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
<nil>,<nil>,<nil>,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,<nil>,p,p
<nil>,f,n,t,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,m,e
x,f,g,f,f,f,c,b,b,e,k,k,<nil>,w,p,w,o,l,h,v,<nil>,p
<nil>,<nil>,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,<nil>,l,p
<nil>,f,g,f,f,f,c,b,b,e,k,k,<nil>,w,p,w,o,l,h,v,d,p
<nil>,y,e,f,n,f,c,n,b,t,s,s,w,w,p,<nil>,o,e,w,v,<nil>,p
x,y,b,f,<nil>,a,c,n,<nil>,e,s,s,w,w,p,w,o,p,<nil>,v,<nil>,e
<nil>,f,<nil>,f,f,f,c,<nil>,b,e,<nil>,k,w,w,p,w,o,l,h,v,p,p
<nil>,y,g,f,c,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,g,f,n,a,<nil>,n,b,e,s,s,w,w,p,w,o,p,n,v,g,e
f,y,n,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,c,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,g,p
b,y,b,f,<nil>,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,<nil>,l,e
f,f,y,f,f,f,c,b,<nil>,e,k,k,w,w,p,w,o,l,<nil>,v,g,p
x,f,p,f,n,a,c,<nil>,<nil>,e,s,<nil>,w,w,p,w,o,p,o,v,d,e
x,s,g,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
s,s,<nil>,f,n,f,c,n,w,t,s,s,n,w,p,w,o,e,w,y,d,e
<nil>,f,w,<nil>,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
<nil>,y,w,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,<nil>,<nil>,e
f,y,b,f,n,a,c,n,b,t,s,s,w,w,p,w,o,n,<nil>,v,w,e
<nil>,f,g,f,<nil>,f,<nil>,b,b,e,k,k,w,w,p,w,o,l,h,v,d,p
k,y,g,t,n,f,w,n,<nil>,e,s,s,w,w,p,w,o,p,k,v,u,e
b,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,<nil>,l,h,v,p,p
<nil>,<nil>,n,f,n,f,c,n,b,t,<nil>,s,w,w,p,w,o,<nil>,w,v,u,e
<nil>,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,<nil>,w,v,g,p
k,y,e,f,y,f,<nil>,n,b,t,s,s,<nil>,w,p,w,o,e,w,v,g,p
b,f,g,f,f,f,c,b,b,e,k,k,<nil>,w,p,w,o,l,h,v,g,p
<nil>,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,p
b,<nil>,y,f,n,f,c,n,b,t,<nil>,s,w,w,p,w,o,e,w,<nil>,g,e
k,y,e,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,y,f,a,f,c,n,b,t,s,<nil>,w,w,p,w,o,e,w,v,d,e
b,s,b,f,n,<nil>,c,n,b,e,s,s,w,w,p,w,o,<nil>,k,v,<nil>,e
b,y,y,t,n,a,c,n,b,e,s,s,w,w,p,w,o,p,n,v,<nil>,e
b,f,g,f,f,f,c,b,b,e,<nil>,k,w,w,p,w,o,l,h,v,g,p
f,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,g,p
<nil>,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
s,y,p,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
<nil>,g,<nil>,f,n,f,c,n,k,t,s,s,w,<nil>,p,w,o,e,w,v,u,e
f,f,b,f,n,a,c,b,b,t,s,y,w,w,p,w,o,p,y,v,d,e
f,y,<nil>,f,n,<nil>,c,<nil>,b,t,s,s,w,w,p,w,o,e,w,<nil>,p,p
<nil>,<nil>,u,t,n,f,c,b,b,e,s,k,w,w,p,w,o,p,k,v,w,e
<nil>,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,l,p
<nil>,y,b,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,p
x,y,n,f,n,<nil>,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,y,p,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,<nil>,g,p
<nil>,f,<nil>,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,p,p
<nil>,f,w,f,n,a,c,n,b,e,s,s,w,w,p,w,o,p,n,v,<nil>,e
<nil>,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,y,n,f,n,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,b,<nil>,n,a,c,n,b,t,s,s,w,w,p,w,o,p,u,v,d,e
f,y,w,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,<nil>,p
<nil>,y,b,f,n,a,c,b,b,t,k,k,w,w,p,<nil>,o,p,y,v,<nil>,e
s,f,p,<nil>,n,f,c,b,b,t,s,<nil>,w,w,p,w,o,p,o,<nil>,<nil>,e
<nil>,y,e,f,n,f,c,n,b,t,<nil>,s,w,w,p,w,o,e,w,v,g,p
k,y,u,f,f,f,c,b,b,e,k,k,y,w,p,w,<nil>,l,h,<nil>,<nil>,e
<nil>,y,w,<nil>,l,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
x,y,n,f,n,f,<nil>,n,b,t,<nil>,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,<nil>,l,h,v,d,p
b,y,u,t,n,f,c,b,b,e,s,y,w,w,p,w,o,p,k,v,g,e
<nil>,y,y,f,n,a,c,b,b,e,s,<nil>,w,w,p,w,o,p,o,v,p,e
<nil>,y,u,f,n,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
x,y,n,f,n,f,<nil>,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,d,p
<nil>,y,<nil>,f,n,f,c,n,b,<nil>,<nil>,s,w,w,p,w,o,e,w,<nil>,g,p
<nil>,y,b,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,w,e
x,y,e,<nil>,n,f,<nil>,n,b,t,<nil>,s,w,w,p,w,<nil>,e,w,v,l,p
b,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,d,p
k,y,e,f,y,f,c,n,b,t,<nil>,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,y,<nil>,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
f,f,g,f,f,f,c,b,<nil>,e,k,k,w,w,p,w,o,l,h,v,g,p
f,s,b,f,n,a,c,n,b,e,s,s,w,w,p,w,o,p,n,v,d,e
b,y,u,f,l,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,w,v,m,e
c,y,e,f,n,f,c,n,b,t,s,s,w,<nil>,p,w,o,e,w,v,g,e
<nil>,y,p,<nil>,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,s,b,f,n,a,<nil>,b,b,e,s,<nil>,w,w,p,w,o,p,o,v,<nil>,e
s,y,u,f,n,a,c,n,b,t,s,s,w,w,p,w,<nil>,p,y,v,l,e
<nil>,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,<nil>,p
<nil>,y,n,f,n,f,<nil>,n,b,t,s,s,w,w,p,<nil>,o,<nil>,w,v,<nil>,p
<nil>,<nil>,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,p
k,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,m,e
<nil>,f,g,f,f,f,c,b,b,e,k,<nil>,<nil>,w,p,w,o,l,h,v,p,p
x,y,w,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,g,e
x,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
f,y,u,t,n,f,c,n,b,e,s,s,w,w,p,w,o,p,k,v,<nil>,e
<nil>,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,<nil>,g,e
x,f,g,f,n,f,c,n,b,t,k,s,w,w,p,<nil>,o,l,<nil>,v,<nil>,e
f,f,<nil>,<nil>,f,f,c,b,<nil>,e,k,k,p,b,p,w,o,l,h,v,p,p
x,y,e,f,y,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
b,f,y,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,d,p
k,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,p
<nil>,y,<nil>,f,l,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,p,e
c,s,n,t,n,f,c,<nil>,b,e,s,y,w,w,p,w,o,p,<nil>,v,d,e
<nil>,y,w,f,p,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,p
x,f,g,f,f,f,c,b,b,e,k,k,w,w,p,<nil>,o,l,h,v,g,p
s,y,n,f,<nil>,<nil>,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,l,e
b,y,<nil>,f,n,f,w,n,b,t,<nil>,s,<nil>,w,p,w,o,e,w,v,<nil>,e
k,s,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
x,y,y,<nil>,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,<nil>,p
<nil>,y,y,f,n,f,c,n,b,t,s,s,w,w,p,w,o,<nil>,w,v,<nil>,e
<nil>,f,g,f,<nil>,a,c,b,b,e,s,s,w,w,p,w,o,p,<nil>,v,l,e
<nil>,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
b,y,u,t,n,f,<nil>,b,b,e,s,f,w,w,p,w,t,p,k,v,<nil>,e
x,f,y,f,f,f,c,b,b,e,k,k,n,w,p,w,<nil>,l,<nil>,<nil>,d,p
<nil>,f,g,f,f,f,c,b,b,e,k,k,<nil>,w,p,<nil>,o,<nil>,h,v,d,p
b,y,n,f,<nil>,f,c,n,<nil>,t,s,s,<nil>,w,p,w,o,e,w,v,d,e
<nil>,y,e,<nil>,f,f,c,n,b,t,s,<nil>,w,w,p,<nil>,o,e,w,v,g,p
<nil>,s,<nil>,f,n,<nil>,c,<nil>,<nil>,t,s,y,w,w,p,w,o,p,b,v,u,e
f,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,l,p
f,y,<nil>,<nil>,y,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
b,y,r,f,n,a,c,b,b,e,s,s,w,w,p,w,o,p,o,v,<nil>,e
<nil>,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
f,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,w,f,p,f,c,<nil>,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,p,f,n,f,c,n,b,e,s,s,w,w,p,w,o,p,r,<nil>,<nil>,e
b,y,w,f,n,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
<nil>,y,w,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,p
x,y,g,f,c,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,<nil>,v,g,p
x,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,p
<nil>,y,g,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,w,e
<nil>,y,n,f,n,f,c,n,b,<nil>,s,s,w,w,p,w,o,e,w,v,<nil>,p
f,y,e,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
<nil>,y,w,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,g,e
<nil>,y,<nil>,f,f,f,w,b,b,e,k,k,w,w,p,w,o,l,h,v,<nil>,e
<nil>,<nil>,e,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,g,p
b,s,n,f,n,f,<nil>,n,w,t,s,s,c,w,p,w,o,e,w,c,<nil>,e
b,f,g,f,f,f,c,b,<nil>,e,k,k,w,w,p,w,o,l,h,v,d,p
<nil>,y,y,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,<nil>,p,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,p
x,g,n,t,n,a,c,n,b,e,s,s,w,<nil>,p,w,o,p,n,v,d,e
x,y,<nil>,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,n,f,<nil>,<nil>,c,n,b,t,s,s,<nil>,w,p,w,o,e,w,v,g,p
b,f,u,t,n,f,w,n,b,e,s,s,w,w,p,w,o,p,k,v,<nil>,e
<nil>,f,y,f,n,a,c,b,b,t,s,y,w,w,p,w,o,p,o,v,d,e
<nil>,y,g,f,n,f,c,n,b,t,s,s,<nil>,w,p,w,<nil>,e,w,v,<nil>,e
<nil>,y,y,t,n,a,<nil>,n,b,e,s,s,w,w,p,w,o,p,b,v,w,e
f,f,<nil>,f,f,f,<nil>,b,b,e,k,k,w,w,p,w,o,l,h,v,p,p
<nil>,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
x,f,w,t,n,f,w,n,b,e,s,s,w,w,p,w,<nil>,p,k,v,l,e
x,y,n,f,n,f,<nil>,n,b,t,s,<nil>,w,w,p,w,o,e,w,v,g,p
f,f,g,f,f,f,c,b,b,<nil>,k,k,w,w,p,w,o,<nil>,h,v,d,p
k,y,u,t,n,f,c,n,<nil>,e,s,s,w,w,p,w,<nil>,p,k,v,w,e
b,f,g,f,f,f,c,b,<nil>,e,k,k,w,w,p,w,o,l,h,v,g,p
b,f,g,f,f,f,c,b,<nil>,e,<nil>,k,w,w,p,w,o,l,h,<nil>,<nil>,p
<nil>,y,e,f,<nil>,f,c,<nil>,<nil>,t,s,s,w,w,p,w,o,e,w,v,p,e
f,y,w,t,n,f,c,n,b,e,s,s,w,w,p,<nil>,<nil>,p,k,v,u,e
<nil>,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,p,p
<nil>,y,n,f,y,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,g,p
f,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,g,p
k,y,b,f,<nil>,f,c,n,b,t,s,s,w,w,p,<nil>,o,e,w,<nil>,<nil>,e
<nil>,y,u,f,n,f,c,n,b,t,s,s,<nil>,w,p,w,o,e,w,v,g,e
<nil>,s,<nil>,f,n,a,c,b,b,t,s,y,w,w,p,w,o,p,o,v,p,e
<nil>,y,y,f,n,f,c,n,b,t,<nil>,<nil>,w,w,p,w,o,e,w,v,m,e
<nil>,f,<nil>,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,p,p
x,y,e,f,n,a,w,b,b,t,s,k,w,w,p,w,o,p,y,v,m,e
<nil>,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,p,p
k,y,<nil>,<nil>,s,f,<nil>,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,g,p
s,s,y,t,n,a,<nil>,b,<nil>,t,f,y,w,w,p,w,t,e,y,v,l,e
<nil>,y,u,f,<nil>,f,c,b,b,e,s,<nil>,w,w,p,w,o,p,o,v,d,e
k,g,p,t,n,a,c,b,b,t,s,y,w,b,p,w,o,n,<nil>,v,l,e
b,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
<nil>,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,<nil>,v,<nil>,p
x,y,e,f,n,f,<nil>,n,<nil>,t,s,s,w,w,p,<nil>,o,e,w,<nil>,p,p
<nil>,y,<nil>,<nil>,n,f,c,n,b,t,<nil>,s,w,w,p,<nil>,o,e,w,v,g,p
b,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,<nil>,e
k,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
x,s,e,f,n,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,y,p,f,n,a,c,n,b,e,s,s,w,w,p,w,o,p,n,v,w,e
x,y,u,t,n,f,c,n,<nil>,e,s,s,w,w,p,w,o,p,<nil>,v,g,p
<nil>,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
x,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,y,p,f,n,a,c,b,b,t,s,k,w,w,p,w,o,p,<nil>,v,<nil>,e
c,y,y,f,n,f,c,n,<nil>,t,s,s,w,o,p,w,o,e,w,v,w,e
b,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,<nil>,h,v,g,p
<nil>,<nil>,w,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,v,u,p
<nil>,<nil>,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,p,p
b,g,<nil>,t,n,a,w,b,u,t,s,s,w,y,p,w,o,p,y,s,p,e
<nil>,y,<nil>,f,f,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,<nil>,w,t,n,f,c,b,b,e,s,f,w,o,p,w,o,p,k,v,g,e
<nil>,g,b,t,n,f,c,b,b,e,s,<nil>,w,w,p,w,<nil>,p,k,v,d,e
<nil>,s,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
b,y,g,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,<nil>,e
<nil>,y,u,f,<nil>,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,y,e,f,y,f,c,n,b,t,s,s,<nil>,w,p,w,o,<nil>,w,v,<nil>,p
<nil>,y,<nil>,f,n,f,w,n,b,t,s,s,<nil>,w,p,w,o,e,w,v,g,e
