Status of existing checking account,Duration,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate,personal status,Other debtors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits,Job,Number of people,Telephone,foreign worker,class
A11,12.0,A32,A41,3386.0,A61,A75,3.0,A93,A101,4.0,A124,35.0,A143,A153,1.0,A173,1.0,A192,A201,2
A14,36.0,A34,A42,7127.0,A61,A72,2.0,A92,A101,4.0,A122,23.0,A143,A151,2.0,A173,1.0,A192,A201,2
A12,9.0,A34,A46,1501.0,A61,A75,2.0,A92,A101,3.0,A123,34.0,A143,A152,2.0,A174,1.0,A192,A201,2
A12,20.0,A30,A41,6148.0,A62,A75,3.0,A94,A101,4.0,A123,31.0,A141,A152,2.0,A173,1.0,A192,A201,1
A14,18.0,A33,A49,1950.0,A61,A74,4.0,A92,A101,3.70603837975965,A123,34.0,A143,A151,2.0,A171,1.6522635441499904,A192,A202,1
A14,6.0,A32,A43,1595.0,A61,A74,3.0,A93,A101,3.613961029618936,A124,62.820892874824665,A142,A153,1.0,A171,2.0,A192,A201,1
A12,24.0,A32,A48,3512.0,A62,A74,2.0,A93,A101,1.3449347600992556,A123,38.0,A142,A152,2.0,A173,1.0,A191,A201,1
A12,9.0,A34,A43,1154.0,A63,A75,2.0,A93,A101,4.0,A121,37.0,A141,A152,3.0,A173,1.0,A192,A201,1
A11,36.0,A32,A40,1842.0,A61,A72,4.0,A92,A101,4.0,A123,34.0,A143,A152,1.0,A173,1.0,A192,A201,2
A14,15.0,A32,A41,1300.0,A65,A72,1.799867939616978,A93,A103,1.652343527605359,A124,45.0,A143,A153,1.0,A171,1.279373862238549,A191,A202,1
A11,24.0,A32,A40,15279.042168738992,A65,A71,1.0,A93,A101,2.0,A122,30.0,A142,A152,1.0,A173,1.7176716576995759,A192,A202,1
A12,30.0,A34,A40,5234.0,A61,A71,4.0,A94,A101,2.0,A123,28.0,A143,A152,2.0,A174,1.0,A191,A201,2
A14,15.0,A32,A40,3556.0,A65,A73,3.0,A93,A101,3.93234344635025,A124,29.0,A143,A152,1.0,A171,1.0,A192,A201,1
A14,15.0,A32,A43,1979.0,A64,A75,1.9402769910959607,A93,A101,3.6548307407839733,A123,35.0,A143,A151,1.0,A173,1.0,A191,A202,1
A12,33.86228032438871,A34,A48,3617.0,A61,A75,2.230455010564663,A94,A101,4.0,A121,55.854007282990324,A142,A151,1.833312183580019,A171,1.0,A191,A202,1
A13,9.0,A30,A43,1337.0,A61,A72,4.0,A93,A101,2.0,A123,34.0,A143,A152,2.0,A174,1.0,A192,A201,2
A12,26.0,A32,A41,7966.0,A61,A72,2.0,A93,A101,3.0,A123,30.0,A143,A152,2.0,A173,1.0,A191,A201,1
A14,6.0,A32,A40,2080.0,A63,A71,3.8342875932963807,A93,A102,3.8532498513389233,A124,24.0,A141,A152,3.76144156389968,A173,1.573277830377036,A191,A201,1
A14,18.0,A32,A43,1453.0,A61,A72,3.0,A92,A101,1.0,A121,26.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,18.0,A30,A42,3244.0,A61,A73,1.0,A92,A101,4.0,A123,33.0,A141,A152,2.0,A173,1.0,A192,A201,1
A13,5.065021591512054,A34,A43,5848.0,A61,A73,1.1367470174317702,A93,A101,2.9415783967348292,A121,24.0,A143,A151,3.5324495419963107,A173,1.7240941024573297,A192,A201,1
A11,12.0,A30,A43,385.0,A61,A73,1.4624595820412944,A92,A101,1.4257308311402817,A121,46.280052450210746,A142,A152,4.0,A173,1.8670902442514627,A192,A201,1
A12,9.0,A32,A42,918.0,A61,A73,4.0,A92,A101,1.0,A122,30.0,A143,A152,1.0,A173,1.0,A191,A201,2
A14,15.0,A32,A42,8885.181862144755,A65,A74,3.586632503102098,A91,A101,3.0,A124,27.0,A143,A152,2.0,A171,1.0,A192,A201,1
A11,22.757542257454183,A33,A40,662.0,A65,A72,1.2748099315830077,A93,A101,2.5983392561538508,A122,41.0,A143,A152,3.955343049562465,A172,2.0,A192,A202,1
A11,12.0,A32,A40,1372.0,A61,A74,2.0,A91,A101,3.0,A123,36.0,A143,A152,1.0,A173,1.0,A191,A201,2
A14,36.0,A34,A40,6614.0,A61,A75,2.6575665265762805,A93,A103,2.33314884880817,A123,52.36063908392166,A143,A152,3.81545500599393,A171,1.0,A191,A201,1
A11,40.0,A34,A46,5998.0,A61,A73,4.0,A93,A101,3.0,A124,27.0,A141,A152,1.0,A173,1.0,A192,A201,2
A12,48.70699415693173,A33,A49,10965.982256027202,A61,A72,2.590471754713942,A93,A101,3.4146634039263613,A124,33.0,A142,A152,1.0,A173,1.8727986631235636,A192,A202,1
A14,24.0,A32,A43,12548.449863440508,A63,A74,3.0,A94,A101,2.0,A121,31.0,A143,A151,1.0,A173,1.4658969976413028,A191,A202,1
A14,21.0,A32,A41,2476.0,A62,A75,4.0,A93,A101,4.0,A121,46.0,A143,A152,1.0,A174,1.854795045910986,A192,A202,1
A11,17.46074833229649,A34,A40,4716.0,A65,A72,1.0,A93,A102,3.0,A121,44.0,A142,A152,1.2388093615247744,A174,1.117360414068073,A191,A201,1
A14,45.616284995490986,A30,A49,1542.0,A61,A74,2.0,A93,A101,1.75402189253235,A123,36.0,A143,A151,1.0,A173,1.0,A192,A202,1
A14,30.0,A31,A43,7733.15785814413,A64,A71,3.0,A94,A103,3.5452319486302457,A123,27.018453040704685,A142,A152,2.0,A174,2.0,A192,A201,1
A11,9.0,A33,A40,2799.0,A61,A73,2.0,A93,A101,3.605337959079885,A121,73.52614181150652,A143,A151,2.0,A173,2.0,A192,A201,1
A11,21.0,A32,A42,3599.0,A61,A74,1.0,A92,A103,4.0,A123,55.74520783737611,A142,A151,1.0,A172,1.9689879350023747,A192,A201,1
A11,24.0,A30,A43,3660.0,A61,A75,2.0,A91,A101,4.0,A121,28.0,A141,A152,2.7588475303104545,A171,1.0,A192,A201,1
A14,8.945881085249201,A34,A43,2424.0,A61,A72,4.0,A93,A101,2.4795474076979644,A122,53.0,A143,A152,1.3298703317314924,A173,1.0,A192,A202,1
A11,15.0,A32,A40,1403.0,A61,A73,2.0,A92,A101,4.0,A123,28.0,A143,A151,1.0,A173,1.0,A191,A201,1
A12,48.0,A30,A49,12204.0,A65,A73,2.0,A93,A101,2.0,A123,48.0,A141,A152,1.0,A174,1.0,A192,A201,1
A12,36.0,A33,A40,7432.0,A61,A73,2.0,A92,A101,2.0,A122,54.0,A143,A151,1.0,A173,1.0,A191,A201,1
A11,24.0,A31,A42,3552.0,A61,A74,3.0,A93,A101,4.0,A123,27.0,A141,A152,1.0,A173,1.0,A191,A201,2
A11,6.0,A34,A43,8771.083379618227,A61,A75,2.3883765427580705,A93,A101,4.0,A123,52.0,A142,A152,2.0,A173,1.6004828510658362,A191,A201,1
A14,12.0,A34,A49,1185.0,A65,A73,1.2511713617034497,A92,A101,3.584423780691578,A123,27.0,A143,A152,2.741813847161003,A171,1.6868343045710374,A192,A201,1
A12,58.640654758659714,A32,A43,753.0,A63,A73,2.0,A94,A103,3.0,A123,64.0,A143,A152,3.4707658059623996,A174,1.4930570652325175,A191,A201,1
A14,36.0,A32,A46,1819.0,A61,A73,4.0,A93,A101,4.0,A124,37.0,A142,A153,1.0,A173,1.0,A192,A201,2
A11,36.0,A31,A42,2746.0,A61,A75,4.0,A93,A101,4.0,A123,31.0,A141,A152,1.0,A173,1.0,A191,A201,2
A11,9.0,A32,A42,2136.0,A61,A73,3.0,A93,A101,2.0,A121,25.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,24.0,A33,A41,4679.0,A61,A74,3.0,A93,A101,3.0,A123,35.0,A143,A152,2.0,A172,1.0,A192,A201,1
A14,18.0,A32,A49,1568.0,A62,A71,1.8663209691159528,A92,A101,4.0,A122,24.0,A143,A151,1.0,A172,1.4522879950373202,A191,A201,1
A14,30.0,A31,A43,2084.2846259246785,A61,A74,4.0,A93,A101,3.6970787890858734,A123,25.0,A142,A153,2.0,A173,1.0,A192,A202,1
A14,36.0,A30,A45,2613.0,A61,A73,4.0,A93,A101,2.0,A123,27.0,A143,A152,2.0,A173,1.0,A191,A201,1
A14,33.63978161552252,A31,A410,1569.0,A62,A74,2.3154533043184746,A93,A101,1.6027672455410062,A123,34.0,A142,A152,1.0,A172,2.0,A192,A201,1
A13,12.0,A34,A40,939.0,A63,A74,4.0,A94,A101,2.0,A121,28.0,A143,A152,3.0,A173,1.0,A192,A201,2
A14,24.0,A32,A43,1901.0,A65,A73,2.8427529924510226,A93,A101,4.0,A124,65.80110306246115,A143,A152,1.0,A174,1.0,A191,A202,1
A11,12.0,A33,A40,1344.0,A61,A73,4.0,A93,A101,2.0,A121,43.0,A143,A152,2.0,A172,2.0,A191,A201,1
A14,36.0,A33,A49,7980.0,A65,A72,4.0,A93,A101,4.0,A123,27.0,A143,A151,2.0,A173,1.0,A192,A201,2
A14,32.67680468889546,A32,A45,2697.0,A61,A73,1.0,A93,A101,2.0,A123,32.0,A142,A153,1.843001783149437,A173,2.0,A191,A201,1
A14,36.0,A30,A40,11054.0,A65,A73,4.0,A93,A102,2.0,A124,74.95379459544202,A141,A152,1.0,A172,1.0,A191,A202,1
A14,12.0,A34,A40,1163.0,A61,A73,4.0,A93,A102,4.0,A121,44.0,A142,A152,2.869474793524759,A173,1.0,A192,A201,1
A11,12.0,A32,A42,652.0,A61,A75,4.0,A92,A101,4.0,A122,24.0,A143,A151,1.0,A173,1.0,A191,A201,1
A11,12.0,A32,A42,708.0,A61,A73,2.0,A94,A103,3.0,A121,38.0,A142,A152,1.0,A172,2.0,A191,A202,1
A14,24.0,A32,A43,5943.0,A65,A72,1.0,A92,A101,1.0,A123,44.0,A143,A152,2.0,A173,1.0,A192,A201,2
A13,54.004035112636075,A34,A42,3049.0,A61,A72,2.434450003321834,A92,A101,3.1078610404639555,A124,62.352141609327795,A142,A152,1.0,A173,1.0,A192,A202,1
A14,18.0,A32,A43,433.0,A61,A71,3.0,A92,A102,4.0,A121,22.0,A143,A151,1.0,A173,1.0,A191,A201,2
A13,12.0,A32,A43,11802.238484211426,A65,A73,3.0,A92,A103,4.0,A124,23.0,A143,A153,3.695449087256279,A173,1.5715912990866294,A192,A201,1
A12,30.0,A32,A40,2150.0,A61,A73,4.0,A92,A103,2.0,A124,24.0,A141,A152,1.0,A173,1.0,A191,A201,2
A13,12.0,A32,A42,1474.0,A61,A72,4.0,A92,A101,1.0,A122,33.0,A141,A152,1.0,A174,1.0,A192,A201,1
A14,28.671107322267435,A32,A49,1076.0,A63,A72,2.0,A94,A101,2.0,A124,26.0,A143,A153,1.0,A172,1.5428486724210244,A192,A202,1
A14,24.0,A34,A42,3777.0,A64,A73,1.9822468671551272,A91,A103,4.0,A124,50.0,A142,A153,1.0,A171,1.0,A192,A202,1
A11,6.0,A34,A48,609.0,A61,A74,1.4234569008278495,A92,A101,1.1191041809883664,A123,37.0,A143,A151,2.78418510190312,A173,1.9521611686925566,A191,A202,1
A11,18.0,A32,A40,8929.215440271017,A62,A74,1.5116155524289452,A93,A101,1.8151532394594474,A124,59.51759518665226,A143,A152,1.0,A174,2.0,A191,A202,1
A14,27.0,A31,A42,9564.615515060774,A64,A74,4.0,A93,A101,2.0,A121,32.0,A143,A152,3.874950217684083,A172,2.0,A192,A201,1
A14,14.0,A34,A40,802.0,A61,A73,4.0,A93,A101,2.0,A123,27.0,A143,A151,2.0,A172,1.7239638840154594,A192,A202,1
A11,18.0,A32,A42,2462.0,A61,A73,2.0,A93,A101,2.0,A123,22.0,A143,A152,1.0,A173,1.0,A191,A201,2
A13,47.008047159516146,A33,A42,15005.334104717449,A64,A73,3.1866095096080054,A93,A101,3.7241464978461356,A121,58.16795895877407,A143,A152,3.4628625260569925,A173,1.0,A192,A201,1
A11,12.0,A32,A43,1107.0,A61,A73,3.8448606317915965,A93,A101,3.374135819967954,A124,32.86501998054841,A143,A151,1.6697519591012653,A174,1.253790312634396,A191,A202,1
A14,24.0,A34,A43,6234.796840894792,A61,A75,4.0,A91,A102,3.0,A121,59.277306015587335,A141,A151,2.0,A173,1.0,A192,A202,1
A14,15.0,A34,A42,2788.0,A61,A74,2.0,A92,A102,3.0,A123,24.0,A141,A152,2.0,A173,1.0,A191,A201,1
A12,18.0,A31,A410,5866.0,A62,A72,3.8429330902085774,A93,A103,3.323508933212014,A124,30.0,A143,A152,2.0,A173,1.0,A192,A202,1
A14,58.67263953583012,A34,A43,730.0,A65,A75,1.545306843454565,A93,A101,2.0,A123,46.0,A141,A152,2.0,A173,1.0,A192,A202,1
A14,18.0,A33,A49,2169.0,A61,A73,4.0,A94,A101,2.0,A123,28.0,A143,A152,1.0,A173,1.0,A192,A201,2
A12,9.0,A32,A43,1206.0,A62,A75,4.0,A94,A101,2.5911221068190087,A121,25.0,A141,A152,3.5712805229611426,A173,1.549743628361584,A192,A202,1
A14,12.0,A30,A43,707.0,A63,A73,1.1487917559779381,A93,A102,2.0,A124,30.0,A142,A153,3.8202410370277997,A173,1.0,A192,A202,1
A14,24.0,A33,A48,717.0,A65,A75,4.0,A92,A101,4.0,A123,54.0,A142,A152,2.940876119256287,A173,1.405051781785224,A192,A202,1
A13,24.0,A34,A40,15221.923295760256,A61,A75,4.0,A93,A101,4.0,A124,20.0,A141,A153,2.0,A173,1.0,A192,A201,1
A14,40.16056075146698,A33,A45,10158.261911617874,A62,A73,2.7948257341378415,A92,A102,3.8715737890351027,A121,56.57180996634852,A141,A152,1.0,A173,1.0,A192,A201,1
A14,12.0,A34,A43,618.0,A61,A75,4.0,A93,A101,4.0,A121,56.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,33.198952522336384,A34,A42,975.0,A62,A73,3.277577664445232,A91,A101,3.0,A123,61.79063656199665,A143,A151,2.0,A173,1.4311441300361416,A191,A201,1
A14,12.0,A32,A48,1736.0,A63,A74,3.0,A92,A101,1.236654208911738,A121,59.046258525810515,A143,A151,1.7258777875597415,A172,1.0,A191,A202,1
A11,9.0,A32,A43,1366.0,A61,A72,3.0,A92,A101,4.0,A122,22.0,A143,A151,1.0,A173,1.0,A191,A201,2
A11,29.552051720271045,A34,A40,13434.627413949587,A65,A73,1.4582832221813415,A93,A101,4.0,A124,38.0,A143,A152,2.0,A172,1.0,A191,A201,1
A14,11.93312974495037,A34,A49,6304.0,A63,A74,4.0,A94,A103,4.0,A122,36.0,A143,A152,2.0,A174,1.4814991718643271,A192,A201,1
A11,12.0,A32,A42,2577.0,A61,A73,2.0,A91,A101,1.0,A123,42.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,24.0,A33,A46,1927.0,A63,A73,3.0,A93,A101,2.0,A123,33.0,A142,A152,2.0,A173,1.0,A192,A201,1
A12,49.9078791929543,A32,A44,2991.0,A62,A75,3.963097413535216,A94,A101,4.0,A124,25.0,A141,A152,1.0,A173,1.858225846151428,A192,A202,1
A12,24.0,A34,A49,2825.0,A65,A74,4.0,A93,A101,3.0,A124,34.0,A143,A152,2.0,A173,2.0,A192,A201,1
A13,6.0,A34,A40,1323.0,A62,A74,2.0,A91,A101,1.2608909844016116,A123,28.0,A142,A151,3.486378300429299,A174,2.0,A192,A201,1
A14,12.0,A33,A40,5801.0,A64,A74,2.0,A92,A103,4.0,A122,49.0,A141,A153,3.286952084067318,A173,1.0,A192,A202,1
A14,22.0,A32,A43,2675.0,A65,A71,1.1116852013348937,A93,A101,4.0,A123,51.13031766239133,A141,A151,3.009154826478971,A173,1.0,A191,A202,1
A11,47.0,A32,A40,10722.0,A61,A72,1.0,A92,A101,1.0,A121,35.0,A143,A152,1.0,A172,1.0,A192,A201,1
A12,33.53230027846392,A31,A410,10884.079181991541,A65,A72,1.7611291593534093,A92,A101,2.5197918478319274,A124,27.0,A143,A153,3.4577618903918443,A173,1.4737765218447774,A191,A201,1
A14,48.677167843108144,A32,A410,1940.0,A64,A73,4.0,A93,A103,1.3783623520803159,A121,60.0,A143,A152,1.0,A174,1.0,A191,A201,1
A11,58.318254285584445,A34,A49,5420.750012053856,A62,A74,2.317219933491121,A94,A102,3.072338944412317,A122,32.0,A142,A151,3.0314428044689206,A174,1.4696758073145832,A192,A202,1
A12,42.0,A34,A49,2303.083356142547,A61,A74,3.2343448960086696,A94,A101,1.0,A121,41.0,A141,A152,2.0,A172,1.7896492660502519,A191,A201,1
A12,24.0,A32,A42,4057.0,A61,A74,3.0,A91,A101,3.0,A123,43.0,A143,A152,1.0,A173,1.0,A192,A201,2
A14,12.0,A32,A43,707.0,A61,A73,4.0,A93,A101,2.0,A121,30.0,A141,A152,2.0,A173,1.0,A191,A201,2
A12,36.0,A32,A46,2273.0,A61,A74,3.0,A93,A101,1.0,A123,32.0,A143,A152,2.0,A173,2.0,A191,A201,1
A11,15.0,A30,A42,3643.0,A61,A72,3.3680327341221803,A92,A103,4.0,A123,70.05925725244623,A141,A151,2.0,A174,1.4667284302298378,A192,A201,1
A12,12.0,A32,A41,10037.579136251576,A65,A73,4.0,A94,A101,2.0,A123,30.0,A142,A152,1.0,A173,1.703152657997244,A191,A202,1
A14,33.0,A33,A49,2764.0,A65,A73,3.7596173786513596,A94,A103,3.8047287805307386,A123,69.89572604183459,A142,A153,2.0,A173,1.4340877718822358,A191,A201,1
A14,36.559836156735976,A32,A42,5511.0,A62,A73,1.7732735529691774,A93,A103,3.702626726254353,A123,25.0,A142,A152,2.368990161109582,A173,1.8298010770526374,A192,A202,1
A14,12.0,A30,A42,2759.0,A61,A75,2.0,A93,A101,4.0,A122,34.0,A143,A152,2.0,A173,1.0,A191,A201,2
A13,26.809055282096896,A34,A40,409.0,A64,A73,3.0,A92,A102,3.0,A122,42.0,A143,A151,2.0,A174,1.5889183612133189,A192,A201,1
A12,36.0,A32,A42,9034.0,A62,A72,4.0,A93,A102,1.0,A124,29.0,A143,A151,1.0,A174,1.0,A192,A201,2
A14,15.0,A32,A40,3186.0,A61,A74,2.0,A92,A101,3.0,A123,43.26145314364619,A143,A152,1.0,A171,1.0,A192,A202,1
A11,24.0,A32,A41,6579.0,A61,A71,4.0,A93,A101,2.0,A124,29.0,A143,A153,1.0,A174,1.0,A192,A201,1
A14,18.0,A34,A43,629.0,A63,A71,4.0,A91,A102,3.0,A124,32.0,A142,A152,2.0,A173,1.7454887051845034,A192,A201,1
A11,48.0,A32,A41,4788.0,A61,A74,4.0,A93,A101,3.0,A122,26.0,A143,A152,1.0,A173,2.0,A191,A201,1
A14,33.0,A34,A41,7253.0,A61,A74,1.0354740545192525,A93,A101,2.0,A124,35.0,A143,A152,1.4221565202810795,A174,1.3740266338000615,A191,A201,1
A14,57.29326739836025,A34,A42,2406.0,A61,A72,2.0,A93,A101,1.31768410229181,A123,31.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,12.0,A34,A48,1007.0,A65,A71,1.2099383632184082,A94,A102,2.845587256948077,A121,22.0,A142,A152,2.959546092941748,A172,1.0,A191,A201,1
A14,24.0,A33,A45,2375.0,A63,A73,4.0,A93,A101,2.0,A124,44.0,A141,A152,3.961955509762276,A174,1.3616609789339498,A192,A202,1
A12,12.0,A30,A42,2969.0,A61,A72,4.0,A92,A101,3.0,A122,25.0,A143,A151,2.0,A173,1.0,A191,A201,2
A11,52.466248685934005,A34,A42,1478.0,A64,A71,2.466321955000888,A94,A101,2.065744132930557,A123,44.0,A143,A153,2.0,A173,2.0,A191,A202,1
A12,21.0,A32,A49,1188.0,A61,A75,2.0,A92,A101,4.0,A122,39.0,A143,A152,1.0,A173,2.0,A191,A201,2
A14,24.0,A32,A41,2603.0,A64,A73,2.0,A92,A101,4.0,A123,28.0,A143,A151,1.0,A173,1.0,A192,A201,1
A11,6.0,A32,A40,1203.0,A65,A71,1.5883549688464234,A93,A101,3.6723175916520363,A123,43.0,A143,A152,1.0,A173,1.0,A192,A201,1
A11,10.0,A34,A49,1038.0,A64,A74,4.0,A93,A102,1.3362128909410385,A122,49.0,A143,A152,3.3244438103871197,A174,1.9598626611470598,A192,A201,1
A13,12.0,A32,A43,3016.0,A61,A73,3.0,A94,A101,1.0,A123,24.0,A143,A152,1.0,A173,1.0,A191,A201,2
A14,36.0,A31,A43,12732.13676621923,A64,A75,4.0,A93,A101,3.9066967196902573,A123,51.0,A141,A152,3.9397820708916593,A174,1.552164241367797,A192,A201,1
A14,12.0,A32,A43,2171.0,A61,A72,2.0,A92,A101,2.0,A123,29.0,A141,A152,1.0,A173,1.0,A191,A201,1
A14,24.0,A34,A42,13298.885855844457,A61,A74,2.0,A93,A102,3.3428767789209233,A123,30.0,A141,A152,3.3861519730463128,A172,1.8066217983347592,A192,A202,1
A12,27.0,A32,A49,2528.0,A61,A72,4.0,A92,A101,1.0,A122,32.0,A143,A152,1.0,A173,2.0,A192,A201,1
A11,21.0,A32,A43,1835.0,A61,A73,3.0,A92,A101,2.0,A121,25.0,A143,A152,2.0,A173,1.0,A192,A201,2
A11,15.0,A30,A40,950.0,A61,A75,4.0,A93,A101,3.0,A123,33.0,A143,A151,2.0,A173,2.0,A191,A201,2
A11,8.70526667153636,A31,A410,7882.0,A64,A74,2.0,A93,A102,4.0,A122,45.0,A141,A153,1.0,A171,2.0,A191,A201,1
A14,12.0,A32,A43,2141.0,A62,A73,1.1632808485061912,A94,A102,1.0,A124,35.0,A143,A152,1.0,A173,1.6558312732160738,A191,A201,1
A12,60.0,A34,A43,7418.0,A62,A74,3.790405423615885,A93,A101,1.0,A123,27.0,A143,A151,1.0,A171,1.706196129513029,A191,A201,1
A14,24.0,A34,A41,3868.0,A61,A75,4.0,A92,A101,2.0,A123,41.0,A143,A151,2.0,A174,1.0,A192,A201,1
A12,18.0,A32,A41,12976.0,A61,A71,3.0,A92,A101,4.0,A124,38.0,A143,A153,1.0,A174,1.0,A192,A201,2
A14,47.2076577832935,A32,A49,3235.0,A63,A73,3.0,A91,A102,3.1958669898100567,A122,41.81218002320317,A141,A151,3.633528168771225,A174,1.7593867046787213,A191,A201,1
A11,18.0,A31,A43,1940.0,A61,A72,3.0,A93,A102,4.0,A124,36.0,A141,A153,1.0,A174,1.0,A192,A201,2
A14,36.0,A32,A410,4686.0,A63,A72,2.0,A93,A101,2.0,A121,32.0,A141,A153,1.0,A174,1.0,A191,A201,1
A14,28.0,A31,A41,7824.0,A65,A72,1.305277297034066,A93,A103,4.0,A121,20.199974732023733,A142,A151,2.827716023638929,A173,1.4186873643107338,A192,A202,1
A14,18.0,A32,A410,3229.0,A65,A71,2.0,A93,A102,4.0,A124,38.0,A143,A152,1.0,A174,1.0,A192,A201,1
A14,14.322593527937517,A33,A41,2569.0,A63,A74,2.0110314340435274,A93,A101,4.0,A123,24.0,A143,A152,1.0,A173,1.543624582022811,A192,A201,1
A14,21.0,A30,A40,5003.0,A65,A73,1.0,A92,A101,4.0,A122,29.0,A141,A152,2.0,A173,1.0,A192,A201,2
A13,9.0,A33,A45,1126.0,A62,A75,2.0,A91,A102,4.0,A122,49.0,A141,A152,1.0,A173,1.0,A191,A201,1
A11,36.0,A32,A42,3446.0,A61,A75,4.0,A93,A101,2.0,A123,42.0,A143,A152,1.0,A173,2.0,A191,A201,2
A12,36.0,A33,A40,2225.0,A61,A75,4.0,A93,A101,4.0,A124,57.0,A141,A153,2.0,A173,1.0,A192,A201,2
A11,13.0,A34,A49,1797.0,A63,A72,3.0,A93,A101,1.0,A124,65.98305295858515,A141,A152,2.0,A174,1.8291789165504406,A192,A201,1
A14,58.07372349043047,A30,A40,682.0,A62,A74,4.0,A92,A102,3.0,A123,51.0,A141,A152,2.0,A173,1.9488607092012233,A192,A202,1
A12,15.0,A32,A40,2631.0,A62,A73,2.0,A92,A101,4.0,A123,28.0,A143,A151,2.0,A173,1.0,A192,A201,2
A14,12.0,A34,A49,926.0,A61,A71,1.0,A92,A101,2.0,A122,38.0,A143,A153,3.359991677658345,A171,1.9931510941033586,A191,A201,1
A14,9.0,A34,A46,936.0,A62,A72,4.0,A94,A101,3.74810245255935,A121,52.0,A142,A152,2.5946313010890525,A171,1.4120590717177293,A191,A201,1
A11,36.0,A32,A40,3249.0,A61,A74,2.0,A93,A101,4.0,A124,39.0,A141,A153,1.0,A174,2.0,A192,A201,2
A14,30.0,A31,A41,7485.0,A65,A71,4.0,A92,A101,1.0,A121,53.0,A141,A152,1.0,A174,1.0,A192,A201,2
A12,12.0,A32,A43,1534.0,A61,A72,1.0,A94,A101,1.0,A121,23.0,A143,A151,1.0,A173,1.0,A191,A201,2
A11,48.0,A32,A41,10297.0,A61,A74,4.0,A93,A101,4.0,A124,39.0,A142,A153,3.0,A173,2.0,A192,A201,2
A12,39.0,A34,A43,4933.0,A61,A74,2.0,A93,A103,2.0,A121,25.0,A143,A152,2.0,A173,1.0,A191,A201,2
A14,18.002664015567778,A32,A43,2394.0,A61,A73,4.0,A92,A101,4.0,A122,25.0,A141,A151,3.3924778819387105,A172,1.0,A191,A202,1
A14,12.0,A34,A45,996.0,A65,A74,4.0,A92,A101,4.0,A121,23.0,A143,A152,2.0,A173,1.0,A191,A201,1
A11,18.0,A32,A42,4153.0,A61,A73,2.0,A93,A102,3.0,A123,42.0,A143,A152,1.0,A173,1.0,A191,A201,2
A11,24.0,A33,A43,9821.920029534109,A64,A73,4.0,A94,A101,4.0,A121,57.0,A143,A151,2.0,A172,1.0,A191,A201,1
A14,53.670805767632196,A33,A49,846.0,A65,A75,3.0,A93,A101,2.745310065461333,A123,36.0,A142,A153,1.944386653575616,A173,1.5539588181654205,A191,A201,1
A14,24.0,A34,A43,1851.0,A61,A75,4.0,A94,A103,2.0,A124,33.0,A143,A153,2.0,A173,1.0,A191,A202,1
A11,12.0,A32,A42,1620.0,A61,A73,2.0,A92,A102,3.0,A122,30.0,A143,A152,1.0,A173,1.0,A191,A201,2
A12,18.0,A34,A49,7374.0,A65,A71,2.8590734338341552,A91,A101,4.0,A122,71.8309299340047,A142,A152,2.0,A171,1.0,A192,A201,1
A12,58.717885433493,A33,A45,6967.0,A62,A74,4.0,A93,A103,2.4169895174690463,A122,47.64532446768726,A143,A151,1.0,A174,1.0,A191,A202,1
A14,9.868247208198337,A33,A49,8947.0,A64,A74,1.863082023662165,A93,A103,3.3545827891660664,A123,31.0,A142,A152,2.8465009211225327,A174,1.1331250565304503,A192,A202,1
A14,24.0,A30,A49,1559.0,A62,A74,4.0,A92,A101,4.0,A123,50.0,A143,A153,1.704227146267345,A173,1.0,A191,A201,1
A13,15.0,A32,A46,392.0,A61,A72,4.0,A92,A101,4.0,A122,23.0,A143,A151,1.0,A173,1.0,A192,A201,1
A14,54.789743062599754,A34,A48,14088.029170339132,A61,A72,2.0,A92,A101,2.3020943805293124,A124,22.0,A143,A151,3.6431795862825505,A172,1.0,A191,A201,1
A14,48.0,A34,A49,3609.0,A61,A73,3.8564717491476435,A93,A101,3.001567947496293,A122,27.0,A143,A152,2.8473189959561718,A173,1.0,A191,A202,1
A12,18.0,A30,A40,2278.0,A62,A72,3.0,A92,A101,3.0,A123,28.0,A143,A152,2.0,A173,1.0,A191,A201,2
A14,39.03831247814924,A34,A40,5062.922817301895,A65,A73,2.230430970539298,A92,A101,3.1996222650858237,A123,35.0,A142,A153,2.0,A174,1.5384429220973197,A192,A202,1
A12,25.97409486757763,A32,A43,760.0,A62,A74,4.0,A92,A103,2.0,A121,44.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,20.0,A33,A410,2629.0,A61,A73,2.0,A93,A101,3.0,A123,29.0,A141,A152,2.0,A173,1.0,A192,A201,2
A14,6.0,A32,A48,1338.0,A64,A73,1.0,A91,A101,1.3723807086037545,A124,62.0,A141,A151,1.0,A173,1.5395070451449406,A192,A201,1
A12,18.0,A34,A40,884.0,A61,A75,4.0,A93,A101,4.0,A123,36.0,A141,A152,1.0,A173,2.0,A192,A201,2
